Time,Account,Type,Details
2025-12-20 14:47:23.326208+00:00,N/A,Privilege Escalation,
2025-12-20 14:48:54.511974+00:00,N/A,Privilege Escalation,
2025-12-20 14:49:12.327211+00:00,N/A,Privilege Escalation,
2025-12-20 14:49:13.509281+00:00,N/A,Privilege Escalation,
2025-12-20 14:50:09.439878+00:00,N/A,Privilege Escalation,
2025-12-20 14:50:23.721216+00:00,N/A,Privilege Escalation,
2025-12-20 14:52:11.286196+00:00,N/A,Privilege Escalation,
2025-12-20 14:52:34.477039+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:07.381824+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:07.683306+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:09.292355+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:09.299328+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:09.302029+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:09.309200+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:09.311792+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:09.328913+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:10.080011+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:10.944757+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:12.409754+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:12.409857+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:12.413759+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:12.416004+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:12.423468+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:12.426756+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:12.449072+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:12.503042+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:13.165373+00:00,N/A,Privilege Escalation,
2025-12-20 14:53:13.814674+00:00,N/A,Privilege Escalation,
2025-12-20 14:55:12.553291+00:00,N/A,Privilege Escalation,
2025-12-20 15:02:09.543854+00:00,N/A,Privilege Escalation,
2025-12-20 15:02:11.181469+00:00,N/A,Privilege Escalation,
2025-12-20 15:02:12.365904+00:00,N/A,Privilege Escalation,
2025-12-20 15:02:17.697092+00:00,N/A,Privilege Escalation,
2025-12-20 15:02:35.604160+00:00,N/A,Privilege Escalation,
2025-12-20 15:04:21.365690+00:00,N/A,Privilege Escalation,
2025-12-20 15:06:19.970610+00:00,N/A,Privilege Escalation,
2025-12-20 15:13:46.002392+00:00,N/A,Privilege Escalation,
2025-12-20 15:17:17.840359+00:00,N/A,Privilege Escalation,
